Species,AOO
Acanthocladus_pulcherrimus,163
Acanthocladus_santosii,51
Acanthocladus_scleroxylon,77
Acanthophoenix_rubra,82
Acanthosyris_annonagustata,44
Acanthosyris_asipapote,28
Acanthosyris_falcata,453
Acanthosyris_glabrata,127
Acanthosyris_paulo-alvinii,42
Acanthosyris_spinescens,344
Acca_lanuginosa,33
Acca_macrostema,62
Acca_sellowiana,1351
Aceratium_archboldianum,53
Aceratium_brassii,73
Aceratium_concinnum,202
Aceratium_doggrellii,188
Aceratium_ferrugineum,136
Aceratium_ledermannii,147
Aceratium_megalospermum,544
Aceratium_muellerianum,112
Aceratium_oppositifolium,396
Aceratium_pachypetalum,0
Aceratium_parvifolium,48
Aceratium_pittosporoides,48
Aceratium_sericeum,0
Aceratium_sericoleopsis,79
Aceratium_sinuatum,19
Aceratium_sphaerocarpum,34
Aceratium_tomentosum,39
Acer_acuminatum,37
Acer_amamiense,0
Acer_amplum,229
Acer_argutum,323
Acer_barbinerve,36
Acer_buergerianum,259
Acer_caesium,190
Acer_calcaratum,23
Acer_campbellii,857
Acer_campestre,110566
Acer_capillipes,284
Acer_cappadocicum,345
Acer_carpinifolium,802
Acer_caudatifolium,917
Acer_caudatum,322
Acer_ceriferum,0
Acer_chiangdaoense,0
Acer_circinatum,2578
Acer_cissifolium,619
Acer_confertifolium,26
Acer_cordatum,263
Acer_crassum,22
Acer_crataegifolium,1162
Acer_davidii,1207
Acer_diabolicum,383
Acer_distylum,196
Acer_duplicatoserratum,94
Acer_elegantulum,12
Acer_erianthum,112
Acer_erythranthum,14
Acer_fabri,473
Acer_fenzelianum,18
Acer_floridanum,883
Acer_glabrum,10667
Acer_granatense,2802
Acer_grandidentatum,2654
Acer_griseum,54
Acer_heldreichii,141
Acer_henryi,170
Acer_hyrcanum,83
Acer_japonicum,795
Acer_laevigatum,298
Acer_laurinum,121
Acer_leipoense,21
Acer_leucoderme,1027
Acer_longipes,111
Acer_lucidum,26
Acer_macrophyllum,8917
Acer_mandshuricum,40
Acer_maximowiczianum,64
Acer_micranthum,629
Acer_miyabei,11
Acer_monspessulanum,10344
Acer_morifolium,20
Acer_negundo,35427
Acer_nipponicum,169
Acer_oblongum,392
Acer_obtusifolium,132
Acer_oligocarpum,13
Acer_oliverianum,271
Acer_opalus,5938
Acer_palmatum,2178
Acer_pauciflorum,0
Acer_paxii,176
Acer_pectinatum,668
Acer_pensylvanicum,16956
Acer_pentaphyllum,33
Acer_pentapomicum,76
Acer_pictum,2541
Acer_pilosum,28
Acer_platanoides,110855
Acer_poliophyllum,0
Acer_pseudoplatanus,15494
Acer_pseudosieboldianum,33
Acer_pycnanthum,0
Acer_rubescens,67
Acer_rubrum,247177
Acer_rufinerve,1009
Acer_saccharinum,14696
Acer_saccharum,83915
Acer_sempervirens,192
Acer_shenkanense,20
Acer_shirasawanum,495
Acer_sieboldianum,997
Acer_sikkimense,119
Acer_sinense,0
Acer_sino-oblongum,17
Acer_sinopurpurascens,13
Acer_spicatum,7452
Acer_stachyophyllum,249
Acer_sterculiaceum,349
Acer_sutchuenense,0
Acer_sycopseoides,17
Acer_tataricum,541
Acer_tegmentosum,35
Acer_tenellum,38
Acer_tibetense,0
Acer_tonkinense,81
Acer_triflorum,45
Acer_truncatum,137
Acer_tschonoskii,378
Acer_tutcheri,120
Acer_undulatum,0
Acer_velutinum,0
Acer_wangchii,22
Acer_wardii,100
Acer_wilsonii,0
Acer_yinkunii,0
Acer_yui,12
Achatocarpus_gracilis,201
Achatocarpus_hasslerianus,13
Achatocarpus_microcarpus,35
Achatocarpus_nigricans,2000
Achatocarpus_oaxacanus,137
Achatocarpus_praecox,903
Achatocarpus_pubescens,363
Achyranthes_arborescens,21
Achyranthes_mangarevica,0
Achyranthes_marchionica,0
Acioa_dolichopoda,122
Acioa_edulis,112
Acioa_guianensis,24
Acioa_schultesii,97
Acioa_somnolens,24
Acmanthera_cowanii,24
Acmanthera_duckei,34
Acmanthera_fernandesii,0
Acmanthera_longifolia,39
Acmanthera_minima,0
Acmanthera_parviflora,29
Acnistus_arborescens,3717
Acokanthera_laevigata,9
Acokanthera_oblongifolia,124
Acokanthera_oppositifolia,421
Acokanthera_rotundata,102
Acokanthera_schimperi,272
Acosmium_cardenasii,178
Acosmium_diffusissimum,376
Acosmium_lentiscifolium,357
Acradenia_euodiiformis,1037
Acridocarpus_austrocaledonicus,64
Acridocarpus_excelsus,167
Acridocarpus_humbertii,40
Acridocarpus_katangensis,97
Acridocarpus_macrocalyx,186
Acridocarpus_natalitius,272
Acridocarpus_plagiopterus,355
Acridocarpus_socotranus,48
Acridocarpus_spectabilis,96
Acritopappus_buiquensis,29
Acritopappus_catolesensis,283
Acritopappus_confertus,1010
Acritopappus_connatifolius,62
Acritopappus_harleyi,115
Acritopappus_heterolepis,302
Acritopappus_irwinii,37
Acritopappus_pintoi,33
Acritopappus_prunifolius,100
Acritopappus_subtomentosus,18
Acritopappus_teixeirae,38
Acrocarpus_fraxinifolius,46
Acrocomia_aculeata,4772
Acrocomia_crispa,0
Acrocomia_hassleri,105
Acrocomia_intumescens,482
Acrocomia_media,0
Acrocomia_totai,86
Acronychia_aberrans,117
Acronychia_acidula,379
Acronychia_acronychioides,695
Acronychia_acuminata,85
Acronychia_baeuerlenii,437
Acronychia_carrii,0
Acronychia_cartilaginea,9
Acronychia_chooreechillum,231
Acronychia_crassipetala,254
Acronychia_dimorphocalyx,14
Acronychia_emarginata,34
Acronychia_eungellensis,87
Acronychia_foveata,24
Acronychia_goniocarpa,0
Acronychia_imperforata,1315
Acronychia_intermedia,0
Acronychia_kaindiensis,14
Acronychia_laevis,1804
Acronychia_ledermannii,39
Acronychia_littoralis,343
Acronychia_macrocalyx,14
Acronychia_montana,44
Acronychia_murina,166
Acronychia_oblongifolia,4158
Acronychia_octandra,427
Acronychia_papuana,0
Acronychia_parviflora,304
Acronychia_pauciflora,442
Acronychia_pedunculata,690
Acronychia_pubescens,1159
Acronychia_pullei,39
Acronychia_reticulata,0
